state,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
Alabama,2020-01-22,-58,0,0,,,,,,
Alabama,2020-01-23,-57,0,0,,,,,,
Alabama,2020-01-24,-56,0,0,,,,,,
Alabama,2020-01-25,-55,0,0,,,,,,
Alabama,2020-01-26,-54,0,0,,,,,,
Alabama,2020-01-27,-53,0,0,,,,,,
Alabama,2020-01-28,-52,0,0,,,,,,
Alabama,2020-01-29,-51,0,0,,,,,,
Alabama,2020-01-30,-50,0,0,,,,,,
Alabama,2020-01-31,-49,0,0,,,,,,
Alabama,2020-02-01,-48,0,0,,,,,,
Alabama,2020-02-02,-47,0,0,,,,,,
Alabama,2020-02-03,-46,0,0,,,,,,
Alabama,2020-02-04,-45,0,0,,,,,,
Alabama,2020-02-05,-44,0,0,,,,,,
Alabama,2020-02-06,-43,0,0,,,,,,
Alabama,2020-02-07,-42,0,0,,,,,,
Alabama,2020-02-08,-41,0,0,,,,,,
Alabama,2020-02-09,-40,0,0,,,,,,
Alabama,2020-02-10,-39,0,0,,,,,,
Alabama,2020-02-11,-38,0,0,,,,,,
Alabama,2020-02-12,-37,0,0,,,,,,
Alabama,2020-02-13,-36,0,0,,,,,,
Alabama,2020-02-14,-35,0,0,,,,,,
Alabama,2020-02-15,-34,0,0,,,,,,
Alabama,2020-02-16,-33,0,0,,,,,,
Alabama,2020-02-17,-32,0,0,,,,,,
Alabama,2020-02-18,-31,0,0,,,,,,
Alabama,2020-02-19,-30,0,0,,,,,,
Alabama,2020-02-20,-29,0,0,,,,,,
Alabama,2020-02-21,-28,0,0,,,,,,
Alabama,2020-02-22,-27,0,0,,,,,,
Alabama,2020-02-23,-26,0,0,,,,,,
Alabama,2020-02-24,-25,0,0,,,,,,
Alabama,2020-02-25,-24,0,0,,,,,,
Alabama,2020-02-26,-23,0,0,,,,,,
Alabama,2020-02-27,-22,0,0,,,,,,
Alabama,2020-02-28,-21,0,0,,,,,,
Alabama,2020-02-29,-20,0,0,,,,,,
Alabama,2020-03-01,-19,0,0,,,,,,
Alabama,2020-03-02,-18,0,0,,,,,,
Alabama,2020-03-03,-17,0,0,,,,,,
Alabama,2020-03-04,-16,0,0,,,,,,
Alabama,2020-03-05,-15,0,0,,,,,,
Alabama,2020-03-06,-14,0,0,,,,,,
Alabama,2020-03-07,-13,0,0,,,,,,
Alabama,2020-03-08,-12,0,0,,,,,,
Alabama,2020-03-09,-11,0,0,,,,,,
Alabama,2020-03-10,-10,0,0,,,,,,
Alabama,2020-03-11,-9,0,0,,,,,,
Alabama,2020-03-12,-8,0,0,,,,,,
Alabama,2020-03-13,-7,5,0,,,,,,
Alabama,2020-03-14,-6,7,0,,,,,,
Alabama,2020-03-15,-5,11,0,,,,,,
Alabama,2020-03-16,-4,29,0,,,,,,
Alabama,2020-03-17,-3,39,0,,,,,,
Alabama,2020-03-18,-2,51,0,,,,,,
Alabama,2020-03-19,-1,78,0,,,,,,
Alabama,2020-03-20,0,106,0,,,,,,
Alabama,2020-03-21,1,131,0,,,,,,
Alabama,2020-03-22,2,157,0,,,,,,
Alabama,2020-03-23,3,196,0,,,,,,
Alabama,2020-03-24,4,242,0,,,,,,
Alabama,2020-03-25,5,381,1,,,,,,
