"Continent","Country","Province","Data Start Date","Infection Rate","Median Day of Action","Rate of Action","Rate of Death","Mortality Rate","Internal Parameter 1","Internal Parameter 2"
"Asia","Afghanistan","None","2020-03-27",1.2499999873662855,-27.313480533464066,2.05581829606209,10.78271833748072,0.06815788494374972,4.721055137656383,0.18541981398891746
"Europe","Albania","None","2020-03-23",1.2499988266499575,-29.906749874200862,2.285390451986235,9.106493298203858,0.08332947777840269,3.280077070834379,0.1
"Africa","Algeria","None","2020-03-21",1.228203327694733,-15.837425638298503,1.2026401790737975,5.360069004282209,0.22690854708919636,6.138929076062323,4.200579895868581
"Europe","Andorra","None","2020-03-22",1.25,-28.512443404868336,2.388472822887527,9.744383581279264,0.0778225121377746,3.0939386492148433,0.4624449166888701
"South America","Argentina","None","2020-03-20",0.8835462923845048,-10.983923958469997,1.002425047581993,13.32884157982102,0.10014514134705256,3.8305005139270327,1.7213411478248433
"Asia","Armenia","None","2020-03-19",1.249999995028161,-21.273336865375157,1.7115628518961068,9.41853111337701,0.02323378492945099,3.8893431991873735,0.10000051393206645
"Oceania","Australia","Australian Capital Territory","2020-04-09",0.8689435174606532,-26.329487870218678,2.6735404045993834,14.999937774896981,0.038590294735784215,0.1,0.1
"Oceania","Australia","New South Wales","2020-03-14",1.2499999954025454,-6.777511111059927,2.744118996478159,14.41570323495487,0.014199024627537245,0.849382097058214,5.6034868539291205
"Oceania","Australia","Queensland","2020-03-19",0.75,-13.85589757854477,2.9995481634492442,13.10139438847244,0.01,2.9156521111378355,1.2744980268316568
"Oceania","Australia","South Australia","2020-03-22",0.75,-29.096315474661576,2.6016619588826795,14.27177506559272,0.0129876640192787,1.0495498540015842,1.6216868832290399
"Oceania","Australia","Tasmania","2020-04-09",0.75,-22.34229497821059,2.0901193472616266,14.15421217897209,0.09424086237365759,0.6897241136839457,0.3169875685878932
"Oceania","Australia","Victoria","2020-03-18",0.75,-13.878463760445547,2.961138653933926,14.630289711772289,0.020888018287724287,7.066479964794287,0.1000002000081697
"Oceania","Australia","Western Australia","2020-03-22",0.75,-25.062720175370856,2.5184152755085534,12.900644202788389,0.017453284072922615,2.138769365269521,0.7177310137143162
