date,country,country_population,state_province,state_province_population,county,county_population,city,city_population,new_cases,new_deaths,new_recovered,cumulative_cases,cumulative_deaths,cumulative_recovered
2020-02-25,Colombia,48258134.0,Amazonas,76589.0,,,,,,,,0.0,0.0,0.0
2020-02-26,Colombia,48258134.0,Amazonas,76589.0,,,,,,,,0.0,0.0,0.0
2020-02-27,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-29,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-30,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-03,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,Colombia,48258134.0,Amazonas,76589.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0
