country,province,date,day_since100,case_cnt,death_cnt,new_hospitalization,total_hospitalization,new_icu,total_icu,new_recovered,total_recovered
China,Qinghai,2020-01-22,-10000,0,0,,,,,,
China,Qinghai,2020-01-23,-9999,0,0,,,,,,
China,Qinghai,2020-01-24,-9998,0,0,,,,,,
China,Qinghai,2020-01-25,-9997,1,0,,,,,,
China,Qinghai,2020-01-26,-9996,1,0,,,,,,
China,Qinghai,2020-01-27,-9995,6,0,,,,,,
China,Qinghai,2020-01-28,-9994,6,0,,,,,,
China,Qinghai,2020-01-29,-9993,6,0,,,,,,
China,Qinghai,2020-01-30,-9992,8,0,,,,,,
China,Qinghai,2020-01-31,-9991,8,0,,,,,,
China,Qinghai,2020-02-01,-9990,9,0,,,,,,
China,Qinghai,2020-02-02,-9989,11,0,,,,,,
China,Qinghai,2020-02-03,-9988,13,0,,,,,,
China,Qinghai,2020-02-04,-9987,15,0,,,,,,
China,Qinghai,2020-02-05,-9986,17,0,,,,,,
China,Qinghai,2020-02-06,-9985,18,0,,,,,,
China,Qinghai,2020-02-07,-9984,18,0,,,,,,
China,Qinghai,2020-02-08,-9983,18,0,,,,,,
China,Qinghai,2020-02-09,-9982,18,0,,,,,,
China,Qinghai,2020-02-10,-9981,18,0,,,,,,
China,Qinghai,2020-02-11,-9980,18,0,,,,,,
China,Qinghai,2020-02-12,-9979,18,0,,,,,,
China,Qinghai,2020-02-13,-9978,18,0,,,,,,
China,Qinghai,2020-02-14,-9977,18,0,,,,,,
China,Qinghai,2020-02-15,-9976,18,0,,,,,,
China,Qinghai,2020-02-16,-9975,18,0,,,,,,
China,Qinghai,2020-02-17,-9974,18,0,,,,,,
China,Qinghai,2020-02-18,-9973,18,0,,,,,,
China,Qinghai,2020-02-19,-9972,18,0,,,,,,
China,Qinghai,2020-02-20,-9971,18,0,,,,,,
China,Qinghai,2020-02-21,-9970,18,0,,,,,,
China,Qinghai,2020-02-22,-9969,18,0,,,,,,
China,Qinghai,2020-02-23,-9968,18,0,,,,,,
